"날짜","종가","시가","고가","저가","거래량","변동 %"
"2025- 10- 01","459.46","443.80","462.29","440.75","98.12M","3.31%"
"2025- 09- 30","444.72","441.52","445.00","433.12","74.36M","0.34%"
"2025- 09- 29","443.21","444.35","450.98","439.50","79.49M","0.64%"
"2025- 09- 26","440.40","428.30","440.47","421.02","101.63M","4.02%"
"2025- 09- 25","423.39","435.24","435.35","419.08","96.75M","-4.38%"
"2025- 09- 24","442.79","429.83","444.21","429.03","93.13M","3.98%"
"2025- 09- 23","425.85","439.88","440.97","423.72","83.42M","-1.93%"
"2025- 09- 22","434.21","431.11","444.98","429.13","97.11M","1.91%"
"2025- 09- 19","426.07","421.82","429.47","421.72","93.13M","2.21%"
"2025- 09- 18","416.85","428.86","432.22","416.56","90.45M","-2.12%"
"2025- 09- 17","425.86","415.75","428.31","409.67","106.13M","1.01%"
"2025- 09- 16","421.62","414.49","423.25","411.43","104.29M","2.82%"
"2025- 09- 15","410.04","423.13","425.70","402.43","163.82M","3.56%"
"2025- 09- 12","395.94","370.94","396.69","370.24","168.16M","7.36%"
"2025- 09- 11","368.81","350.17","368.99","347.60","103.76M","6.04%"
"2025- 09- 10","347.79","350.55","356.33","346.07","72.12M","0.24%"
"2025- 09- 09","346.97","348.44","350.77","343.82","53.82M","0.16%"
"2025- 09- 08","346.40","354.64","358.44","344.84","75.21M","-1.27%"
"2025- 09- 05","350.84","348.00","355.87","344.68","108.99M","3.64%"
"2025- 09- 04","338.53","336.15","338.89","331.48","60.71M","1.33%"
"2025- 09- 03","334.09","335.20","343.33","328.51","88.73M","1.44%"
"2025- 09- 02","329.36","328.23","333.33","325.60","58.39M","-1.35%"
"2025- 08- 29","333.87","347.23","348.75","331.70","81.15M","-3.50%"
"2025- 08- 28","345.98","350.91","353.55","340.26","67.90M","-1.04%"
"2025- 08- 27","349.60","351.94","355.39","349.16","65.52M","-0.59%"
"2025- 08- 26","351.67","344.93","351.90","343.72","76.65M","1.46%"
"2025- 08- 25","346.60","338.90","349.53","335.03","86.67M","1.94%"
"2025- 08- 22","340.01","321.66","340.25","319.69","94.02M","6.22%"
"2025- 08- 21","320.11","322.08","324.90","318.68","55.74M","-1.17%"
"2025- 08- 20","323.90","329.22","331.37","314.60","77.48M","-1.64%"
"2025- 08- 19","329.31","335.79","340.55","327.85","75.96M","-1.75%"
"2025- 08- 18","335.16","329.62","336.27","329.59","56.96M","1.39%"
"2025- 08- 15","330.56","337.65","339.30","327.02","74.32M","-1.50%"
"2025- 08- 14","335.58","335.76","340.47","330.40","75.00M","-1.12%"
"2025- 08- 13","339.38","341.50","348.98","338.20","67.84M","-0.43%"
"2025- 08- 12","340.84","345.00","345.26","332.94","80.69M","0.53%"
"2025- 08- 11","339.03","335.00","346.64","334.15","105.32M","2.85%"
"2025- 08- 08","329.65","321.43","335.15","320.98","91.20M","2.29%"
"2025- 08- 07","322.27","319.79","322.40","316.16","66.66M","0.74%"
"2025- 08- 06","319.91","307.89","320.47","306.93","78.52M","3.62%"
"2025- 08- 05","308.72","308.95","312.45","305.50","57.96M","-0.17%"
"2025- 08- 04","309.26","309.08","312.12","303.00","78.68M","2.19%"
"2025- 08- 01","302.63","306.20","309.31","297.82","89.12M","-1.83%"
"2025- 07- 31","308.27","319.61","321.37","306.10","85.27M","-3.38%"
"2025- 07- 30","319.04","322.18","324.45","311.62","83.93M","-0.67%"
"2025- 07- 29","321.20","325.55","326.25","318.25","87.36M","-1.35%"
"2025- 07- 28","325.59","318.45","330.49","315.69","112.67M","3.02%"
"2025- 07- 25","316.06","308.74","323.63","308.01","148.23M","3.52%"
"2025- 07- 24","305.30","310.00","310.15","300.41","156.97M","-8.20%"
"2025- 07- 23","332.56","330.90","336.20","328.67","92.55M","0.14%"
"2025- 07- 22","332.11","329.74","335.41","321.55","77.37M","1.10%"
"2025- 07- 21","328.49","334.40","338.00","326.88","75.77M","-0.35%"
"2025- 07- 18","329.65","321.66","330.90","321.42","94.25M","3.21%"
"2025- 07- 17","319.41","323.15","324.34","317.06","73.92M","-0.70%"
"2025- 07- 16","321.67","312.80","323.50","312.62","97.28M","3.50%"
"2025- 07- 15","310.78","319.67","321.20","310.50","77.56M","-1.93%"
"2025- 07- 14","316.90","317.73","322.60","312.67","78.04M","1.08%"
"2025- 07- 11","313.51","307.89","314.09","305.65","79.24M","1.17%"
"2025- 07- 10","309.87","300.05","310.48","300.00","104.37M","4.73%"
"2025- 07- 09","295.88","297.55","300.15","293.55","75.59M","-0.65%"
"2025- 07- 08","297.81","297.00","304.05","294.35","103.25M","1.32%"
"2025- 07- 07","293.94","291.37","296.15","288.77","131.18M","-6.79%"
"2025- 07- 03","315.35","317.99","318.45","312.76","58.04M","-0.10%"
"2025- 07- 02","315.65","312.63","316.83","303.82","119.48M","4.97%"
"2025- 07- 01","300.71","298.46","305.89","293.21","145.09M","-5.34%"
"2025- 06- 30","317.66","319.90","325.58","316.60","76.70M","-1.84%"
"2025- 06- 27","323.63","324.51","329.34","317.49","89.07M","-0.66%"
"2025- 06- 26","325.78","324.61","331.05","323.61","80.44M","-0.54%"
"2025- 06- 25","327.55","342.70","343.00","320.40","119.85M","-3.79%"
"2025- 06- 24","340.47","356.17","356.26","340.44","114.74M","-2.35%"
"2025- 06- 23","348.68","327.54","357.54","327.48","190.72M","8.23%"
"2025- 06- 20","322.16","327.95","332.36","317.78","108.69M","0.03%"
"2025- 06- 18","322.05","317.31","329.32","315.45","95.14M","1.80%"
"2025- 06- 17","316.35","326.09","327.26","314.74","88.28M","-3.88%"
"2025- 06- 16","329.13","331.29","332.05","326.41","83.93M","1.17%"
"2025- 06- 13","325.31","313.97","332.99","313.30","128.96M","1.94%"
"2025- 06- 12","319.11","323.08","332.56","316.86","105.13M","-2.24%"
"2025- 06- 11","326.43","334.39","335.50","322.50","122.61M","0.10%"
"2025- 06- 10","326.09","314.94","327.83","310.67","151.26M","5.67%"
"2025- 06- 09","308.58","285.95","309.83","281.85","140.91M","4.55%"
"2025- 06- 06","295.14","298.83","305.50","291.14","164.75M","3.67%"
"2025- 06- 05","284.70","322.49","324.55","273.21","292.82M","-14.26%"
"2025- 06- 04","332.05","345.10","345.60","327.33","98.91M","-3.55%"
"2025- 06- 03","344.27","346.60","355.40","343.04","99.32M","0.46%"
"2025- 06- 02","342.69","343.50","348.02","333.33","81.87M","-1.09%"
"2025- 05- 30","346.46","355.52","363.68","345.29","123.47M","-3.34%"
"2025- 05- 29","358.43","365.29","367.71","356.00","88.55M","0.43%"
"2025- 05- 28","356.90","364.84","365.00","355.91","91.40M","-1.65%"
"2025- 05- 27","362.89","347.35","363.79","347.32","120.15M","6.94%"
"2025- 05- 23","339.34","337.92","343.18","333.21","84.65M","-0.50%"
"2025- 05- 22","341.04","331.90","347.27","331.39","97.11M","1.92%"
"2025- 05- 21","334.62","344.43","347.35","332.20","102.35M","-2.68%"
"2025- 05- 20","343.82","347.87","354.99","341.63","131.72M","0.51%"
"2025- 05- 19","342.09","336.30","343.00","333.37","88.87M","-2.25%"
"2025- 05- 16","349.98","346.24","351.62","342.33","95.90M","2.09%"
"2025- 05- 15","342.82","340.34","346.14","334.72","97.88M","-1.40%"
"2025- 05- 14","347.68","342.50","350.00","337.00","137.00M","4.07%"
"2025- 05- 13","334.07","320.00","337.59","316.80","136.99M","4.93%"
"2025- 05- 12","318.38","321.99","322.21","311.50","112.83M","6.75%"
"2025- 05- 09","298.26","290.21","307.04","290.00","132.39M","4.72%"
"2025- 05- 08","284.82","279.63","289.80","279.41","97.54M","3.11%"
"2025- 05- 07","276.22","276.88","277.92","271.00","71.88M","0.32%"
"2025- 05- 06","275.35","273.11","277.73","271.35","76.72M","-1.75%"
"2025- 05- 05","280.26","284.57","284.85","274.40","94.62M","-2.42%"
"2025- 05- 02","287.21","284.90","294.78","279.81","114.45M","2.38%"
